funct	Instructions	opcode	RegDst	Link	JumpReg	JumpDirect	Branch	MemRead	MemtoReg	AluOp	MemWrite	AluSrc	RegWrite	MemWidth
X	R-type	000000	1	0	0	0	0	0	0	10	0	0	1	
X	lw	100011	0	0	0	0	0	1	1	0	0	1	1	
X	sw	101011	X	0	0	0	0	0	X	0	1	1	0	
X	beq	000100	X	0	0	0	1	0	X	1	0	0	0	
X	addi	001000	0	0	0	0	0	0	0	0	0	1	1	
X	j	000010	0	0	0	1	0	0	0	0	0	0	0	
X	jal	000011	0	1	0	1	0	0	0	1	0	0	1	
X	subi	001001	0	0	0	0	0	0	0	1	0	1	1	
001000	jr	000000	0	0	1	X	X	0	X	X	0	X	0	
001001	jalr	000000	1	1	1	X	X	0	X	X	0	X	1	
X	lh													
X	lhu													
	sb													
	lb													
	lbu													
	sb													
